pest_code,pest_name,pest_category,damage_crop,damage_part,damage_symptom,prevention_method
APH001,蚜虫,刺吸式害虫,蔬菜/果树/粮食,嫩叶/嫩茎,叶片卷曲、发黄、煤污病,释放瓢虫、喷施吡虫啉
APH002,棉蚜,刺吸式害虫,棉花/蔬菜,嫩叶/嫩茎,叶片卷曲、棉铃脱落,喷施啶虫脒、黄板诱杀
WHF001,白粉虱,刺吸式害虫,蔬菜/花卉,叶片背面,叶片发黄、煤污病、传播病毒,黄板诱杀、喷施噻虫嗪
RDSP001,红蜘蛛,刺吸式害虫,果树/蔬菜,叶片,叶片失绿、出现灰白色小点,喷施阿维菌素、清除杂草
CPW001,菜青虫,咀嚼式害虫,十字花科蔬菜,叶片,叶片被啃食、孔洞、缺刻,人工捕捉、喷施BT乳剂
ARM001,小菜蛾,咀嚼式害虫,十字花科蔬菜,叶片,叶片被啃食、半透明"天窗",性诱剂诱杀、喷施甲维盐
CB001,玉米螟,钻蛀性害虫,玉米,茎秆/穗部,茎秆折断、穗部虫蛀,释放赤眼蜂、喷施氯虫苯甲酰胺
SB001,二化螟,钻蛀性害虫,水稻,茎秆,枯心苗、白穗,深翻灭茬、喷施杀虫双
GLH001,稻飞虱,刺吸式害虫,水稻,茎基部,植株倒伏、"冒穿",保护天敌、喷施吡蚜酮
BLA001,稻纵卷叶螟,卷叶害虫,水稻,叶片,叶片纵卷、白色条斑,释放赤眼蜂、喷施阿维菌素
CMB001,棉铃虫,钻蛀性害虫,棉花/蔬菜,蕾铃/果实,蕾铃脱落、果实虫蛀,杨枝把诱杀、喷施高效氯氟氰菊酯
PTB001,烟青虫,钻蛀性害虫,辣椒/烟草,果实/叶片,果实虫蛀、叶片孔洞,灯光诱杀、喷施甲维盐
AFB001,地老虎,地下害虫,多种作物,根茎部,幼苗倒伏、断根,毒饵诱杀、灌施辛硫磷
GRB001,蛴螬,地下害虫,花生/红薯,根部/块根,根部被啃食、植株萎蔫,土壤处理、灌施毒死蜱
MOL001,蝼蛄,地下害虫,多种作物,根茎部,隧道、幼苗断根,毒饵诱杀、灯光诱杀
QFL001,飞虱类,刺吸式害虫,水稻/小麦,茎叶,传播病毒、植株矮缩,保护天敌、喷施噻虫嗪
TL001,蓟马,锉吸式害虫,蔬菜/花卉,花器/嫩叶,花器畸形、叶片银灰色斑点,蓝板诱杀、喷施多杀菌素
WF001,象甲,咀嚼式害虫,水稻/玉米,种子/幼苗,种子被蛀、幼苗死亡,种子处理、喷施氯虫苯甲酰胺
BPH001,褐飞虱,刺吸式害虫,水稻,茎基部,植株倒伏、产量损失,保护天敌、喷施烯啶虫胺
SBW001,甜菜夜蛾,杂食性害虫,蔬菜/棉花,叶片/蕾铃,叶片孔洞、蕾铃脱落,灯光诱杀、喷施茚虫威
DBM001,斑潜蝇,潜叶害虫,蔬菜,叶片,叶片出现蛇形隧道,黄板诱杀、喷施灭蝇胺
FRT001,果实蝇,蛀果害虫,柑橘/芒果,果实,果实腐烂、落果,套袋保护、甲基丁香酚诱杀
CM001,柑橘红蜘蛛,刺吸式害虫,柑橘,叶片/果实,叶片失绿、果实锈斑,喷施矿物油、释放捕食螨
AP001,苹果蠹蛾,蛀果害虫,苹果/梨,果实,果实虫蛀、虫粪,性诱剂诱杀、喷施氯虫苯甲酰胺
PB001,梨小食心虫,蛀果害虫,梨/桃,果实/新梢,新梢萎蔫、果实虫蛀,剪除被害梢、性诱剂诱杀
